nome_municipio;sigla_uf;dh_mortos;dh_feridos;dh_desabrigados;da_polui_cont_do_solo;da_polui_cont_do_ar;descricao_tipologia;grupo_de_desastre
Catalão;SP;0;1;11;0;0;Incêndios florestais;Incêndios Florestais
Manaus;AP;0;2;10;0;0;Inundações graduais;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Curitiba;PR;0;0;5;0;0;Deslizamentos de terra;Hidrológico
Anápolis;AC;0;3;8;0;0;Enxurradas;Hidrológico
Curitiba;AC;0;0;8;0;0;Secas e estiagens;Geológico
Rio Verde;AC;0;2;7;1;0;Secas e estiagens;Climatológico
Curitiba;RS;1;3;8;0;0;Vendavais e Ciclones;Meteorológico
Belo Horizonte;TO;0;1;14;0;0;Tornados;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Valparaíso de Goiás;MT;0;2;7;0;0;Deslizamentos de terra;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Porto Alegre;ES;0;2;6;0;0;Secas e estiagens;Hidrológico
Recife;AM;0;1;9;0;0;Deslizamentos de terra;Desastres Tecnológicos (simulando contaminação como consequência)
Luziânia;AP;0;3;7;1;0;Enxurradas;Geológico
Goiânia;RR;0;1;12;0;0;Alagamentos;Desastres Tecnológicos (simulando contaminação como consequência)
Rio Verde;MT;0;0;13;0;0;Geada/Frentes frias;Incêndios Florestais
Rio Verde;MG;0;1;12;0;0;Tornados;Climatológico
Goiânia;DF;0;2;12;0;0;Vendavais e Ciclones;Meteorológico
Manaus;PB;0;1;7;0;1;Granizo;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Catalão;ES;0;3;10;0;0;Alagamentos;Meteorológico
Brasília;RS;0;1;5;0;0;Subsidência/Colapso de solo;Meteorológico
Rio Verde;SE;0;1;7;0;0;Vendavais e Ciclones;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Belo Horizonte;ES;0;1;8;0;0;Chuvas Intensas;Hidrológico
Curitiba;PE;0;3;12;1;0;Erosão Costeira;Hidrológico
Porto Alegre;PE;0;3;4;1;0;Tornados;Desastres Tecnológicos (simulando contaminação como consequência)
Salvador;AM;0;2;6;0;0;Alagamentos;Incêndios Florestais
Anápolis;MT;0;2;12;0;0;Incêndios florestais;Geológico
Manaus;PR;0;3;11;0;0;Inundações graduais;Geológico
Luziânia;AM;1;1;16;0;0;Alagamentos;Geológico
Recife;PA;0;3;11;0;0;Geada/Frentes frias;Meteorológico
Valparaíso de Goiás;DF;0;1;7;1;0;Subsidência/Colapso de solo;Desastres Tecnológicos (simulando contaminação como consequência)
Valparaíso de Goiás;BA;0;3;11;0;1;Subsidência/Colapso de solo;Meteorológico
Trindade;RJ;0;0;12;0;0;Deslizamentos de terra;Geológico
Salvador;TO;0;2;11;0;0;Alagamentos;Meteorológico
Valparaíso de Goiás;PA;0;0;8;0;1;Deslizamentos de terra;Desastres Tecnológicos (simulando contaminação como consequência)
Anápolis;RJ;0;1;11;0;0;Alagamentos;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Catalão;PA;1;0;10;0;0;Subsidência/Colapso de solo;Desastres Biológicos (ex: epidemias relacionadas a desastres)
Valparaíso de Goiás;RO;0;3;5;1;0;Incêndios florestais;Geológico
Salvador;ES;0;0;9;1;0;Vendavais e Ciclones;Meteorológico
